90,Luoyang,CHN,Henan,6549941,34.6587,112.4245
91,Bijie,CHN,Guizhou,6537498,27.3019,105.2863
92,Yantai,CHN,Shandong,6516900,37.3997,121.2664
93,Quanzhou,CHN,Fujian,6480000,24.9139,118.5858
94,Hangzhou,CHN,Zhejiang,6446000,30.25,120.1675
95,Miami,USA,Florida,6445545,25.7839,-80.2102
96,Kunming,CHN,Yunnan,6250000,25.0433,102.7061
97,Nanchong,CHN,Sichuan,6183000,30.7991,106.0784
98,Zunyi,CHN,Guizhou,6127009,27.705,106.9336
99,Lu'an,CHN,Anhui,6090000,31.7542,116.5078
100,Yichun,CHN,Jiangxi,6048700,27.8041,114.383
101,Taizhou,CHN,Zhejiang,5968838,28.6583,121.4221
102,Liaocheng,CHN,Shandong,5955300,36.45,115.9833
103,Qujing,CHN,Yunnan,5855055,25.5102,103.8029
104,Xiangyang,CHN,Hubei,5844000,32.0654,112.1531
105,Surat,IND,Gujarat,5807000,21.17,72.83
106,Baghdad,IRQ,Baghdad,5796000,33.35,44.4167
107,Qingdao,CHN,Shandong,5775000,36.1167,120.4
108,Singapore,SGP,Central Singapore,5745000,1.3,103.8
109,Dallas,USA,Texas,5743938,32.7936,-96.7662
110,Changde,CHN,Hunan,5717200,29.0397,111.6839
111,Dazhou,CHN,Sichuan,5693000,31.2152,107.4947
112,Suzhou,CHN,Anhui,5690000,33.6333,116.9683
113,Philadelphia,USA,Pennsylvania,5649300,40.0077,-75.1339
114,Jieyang,CHN,Guangdong,5634000,23.5533,116.3649
115,Nairobi,KEN,Nairobi City,5545000,-1.2864,36.8172
116,Nangandao,CHN,Henan,5516000,35.2992,113.8851
117,Ankara,TUR,Ankara,5503985,39.93,32.85
118,Tai'an,CHN,Shandong,5499000,36.2001,117.0809
119,Yulin,CHN,Guangxi,5487368,22.6293,110.1507
120,Dezhou,CHN,Shandong,5470000,37.4513,116.3105
121,Houston,USA,Texas,5464251,29.7863,-95.3889
122,Atlanta,USA,Georgia,5449398,33.7627,-84.4224
123,Rangoon,MMR,Yangon,5430000,16.8,96.15
124,Toronto,CAN,Ontario,5429524,43.7417,-79.3733
125,Suihua,CHN,Heilongjiang,5420000,46.6384,126.9808
126,Washington,USA,District of Columbia,5379184,38.9047,-77.0163
127,Qiqihar,CHN,Heilongjiang,5367003,47.3398,123.9512
128,Jinhua,CHN,Zhejiang,5361572,29.1046,119.6494
129,Saint Petersburg,RUS,Sankt-Peterburg,5351935,59.95,30.3167
130,Shantou,CHN,Guangdong,5319028,23.3735,116.6941
131,Sydney,AUS,New South Wales,5312163,-33.865,151.2094
132,Weinan,CHN,Shaanxi,5300000,34.4996,109.4684
133,Suqian,CHN,Jiangsu,5290000,33.9331,118.2831
134,Guadalajara,MEX,Jalisco,5253000,20.6767,-103.3475
135,Suzhou,CHN,Jiangsu,5250000,31.304,120.6164
136,Fuzhou,CHN,Fujian,5245000,26.0769,119.2917
137,Zhaotong,CHN,Yunnan,5213521,27.3328,103.7144
138,Pudong,CHN,Shanghai,5187200,31.2231,121.5397
139,Yongzhou,CHN,Hunan,5180235,26.4515,111.5953
140,Belo Horizonte,BRA,Minas Gerais,5159000,-19.8917,-43.9478
141,Zhangzhou,CHN,Fujian,5140000,24.5093,117.6612
142,Bozhou,CHN,Anhui,5100000,33.8626,115.7742
143,Melbourne,AUS,Victoria,5078193,-37.8136,144.9631
144,Nanchang,CHN,Jiangxi,5042565,28.6842,115.8872
145,Xianyang,CHN,Shaanxi,5040000,34.35,108.7167
146,Taizhou,CHN,Jiangsu,5031000,32.4831,119.9
147,Surabaya,IDN,Jawa Timur,4975000,-7.2458,112.7378
148,Abidjan,CIV,Abidjan,4980000,5.3364,-4.0267
149,Ji'an,CHN,Jiangxi,4956600,27.1172,114.9793
150,Mianyang,CHN,Sichuan,4945000,31.4669,104.7385
151,Shaoxing,CHN,Zhejiang,4912239,30,120.5833
152,Alexandria,EGY,Al Iskandariyah,4870000,31.2,29.9167
153,Yuncheng,CHN,Shanxi,4860000,35.0304,110.998
154,Pingdingshan,CHN,Henan,4838000,33.735,113.2999
155,Huai'an,CHN,Jiangsu,4799889,33.5,119.1331
156,Xinpu,CHN,Jiangsu,4790000,34.5906,119.1801
157,Guilin,CHN,Guangxi,4747963,25.2667,110.2833
158,Huaihua,CHN,Hunan,4741948,27.5494,109.9592
159,Jiujiang,CHN,Jiangxi,4728778,29.7048,116.0021
160,Anqing,CHN,Anhui,4723000,30.5,117.0333
161,Boston,USA,Massachusetts,4688346,42.3188,-71.0846
162,Huanglongsi,CHN,Henan,4676159,34.7936,114.3403
163,Xiaoganzhan,CHN,Hubei,4665000,30.9273,113.911
164,Changzhou,CHN,Jiangsu,4592431,31.8122,119.9692
165,Barcelona,ESP,Catalonia,4588000,41.3825,2.1769
166,Chenzhou,CHN,Hunan,4581778,25.7989,113.0267
167,Wuxi,CHN,Jiangsu,4580000,31.5667,120.2833
168,Zibo,CHN,Shandong,4530597,36.7831,118.0497
169,Jiaxing,CHN,Zhejiang,4501657,30.7522,120.75
170,Dalian,CHN,Liaoning,4480000,38.9131,121.61
171,Harbin,CHN,Heilongjiang,4458000,45.75,126.6333
172,Yangzhou,CHN,Jiangsu,4459000,32.3912,119.4363
173,Yibin,CHN,Sichuan,4456000,28.7596,104.64
174,Jiangmen,CHN,Guangdong,4448871,22.5833,113.0833
175,Johannesburg,ZAF,Gauteng,4434827,-26.2044,28.0416
176,Meizhou,CHN,Guangdong,4378800,24.2998,116.1191
177,Chifeng,CHN,Inner Mongolia,4376600,42.2663,118.9223
178,Casablanca,MAR,Casablanca-Settat,4370000,33.5992,-7.62
179,Guiyang,CHN,Guizhou,4365000,26.5794,106.7078
180,Langfang,CHN,Hebei,4358839,39.5196,116.7006
181,Zhangjiakou,CHN,Hebei,4345491,40.8108,114.8811
182,Izmir,TUR,Izmir,4320519,38.4127,27.1384
183,Linfen,CHN,Shanxi,4316610,36.0812,111.5087
184,Wenzhou,CHN,Zhejiang,4310000,27.9991,120.6561
185,Monterrey,MEX,Nuevo Leon,4295000,25.6667,-100.3
186,Luzhou,CHN,Sichuan,4291000,28.8918,105.4409
187,Jiangguanchi,CHN,Henan,4289000,34.0244,113.8201
188,Neijiang,CHN,Sichuan,4238000,29.5872,105.0635
189,Phoenix,USA,Arizona,4219697,33.5722,-112.0891
190,Yanjiang,CHN,Sichuan,4217000,30.1256,104.6397
191,Yiyang,CHN,Hunan,4174000,28.5833,112.3333
192,Zhaoqing,CHN,Guangdong,4151700,23.047,112.465
193,Hengshui,CHN,Hebei,4150000,37.7348,115.686
194,Guigang,CHN,Guangxi,4118808,23.0961,109.6092
195,Xiaoxita,CHN,Hubei,4115000,30.7083,111.2803
196,Xiamen,CHN,Fujian,4110000,24.4797,118.0819
197,Chuzhou,CHN,Anhui,4110000,32.3062,118.3115
198,Fuzhou,CHN,Jiangxi,4047200,27.9814,116.3577
199,Amman,JOR,Al `Asimah,4007526,31.95,35.9333
200,Jeddah,SAU,Makkah al Mukarramah,3976000,21.5428,39.1728
201,Sialkot City,PAK,Punjab,3893672,32.5,74.5333
202,Huizhou,CHN,Guangdong,3875000,23.1115,114.4152
203,Qingyuan,CHN,Guangdong,3874000,23.6842,113.0507
204,Zhuzhou,CHN,Hunan,3855609,27.8407,113.1469
205,Wuhu,CHN,Anhui,3842100,31.334,118.3622
206,Hechi,CHN,Guangxi,3830000,23.0965,109.6091
207,Seattle,USA,Washington,3789215,47.6211,-122.3244
208,Loudi,CHN,Hunan,3785627,27.7378,111.9974
209,Binzhou,CHN,Shandong,3779200,37.3806,118.0125
210,Liuzhou,CHN,Guangxi,3758704,24.3181,109.4069
211,Yokohama,JPN,Kanagawa,3748781,35.4333,139.6333
212,Baojishi,CHN,Shaanxi,3738700,34.3609,107.1751
213,Guang'an,CHN,Sichuan,3723000,30.4673,106.6336
214,Hanzhong,CHN,Shaanxi,3700000,33.0794,107.026
215,Kabul,AFG,Kabul,3678034,34.5328,69.1658
